,Actual,Model_prediction,bootstrap_mean_prob,low_bound,high_bound,confidence_score,confidence_zone
22059,1.0,1.0,0.9871795478143097,0.983131453378839,0.9908737195929919,0.9922577337858471,High
23546,1.0,0.0,0.5036165268012496,0.3940072635074693,0.6278672195078393,0.76614004399963,High
3452,0.0,0.0,0.006882274677292949,0.0037724811037774825,0.009107323093861476,0.994665158009916,High
6116,0.0,0.0,0.43939295389670036,0.35192806389271913,0.555309989325705,0.7966180745670142,High
18614,1.0,0.0,0.1656912274582971,0.11172449923678555,0.2229279322393869,0.8887965669973986,High
17710,1.0,1.0,0.8582039273874615,0.7822242051673878,0.899234402561199,0.8829898026061888,High
3665,0.0,0.0,0.03494261695670213,0.02621258946681735,0.045183322027025026,0.9810292674397924,High
11248,0.0,0.0,0.00310260472924587,0.0020003345924600483,0.004162444093419236,0.9978378904990408,High
7783,0.0,0.0,0.02823603854269009,0.021231917407618643,0.03438268759681009,0.9868492298108086,High
21366,1.0,1.0,0.9449783953742991,0.9274965224033956,0.9593391448244205,0.9681573775789751,High
1638,0.0,0.0,0.04941488926538502,0.03324697586419625,0.06531150696934145,0.9679354688948548,High
22861,1.0,1.0,0.9997004255782314,0.9995556237823966,0.9997794716524767,0.9997761521299199,High
16291,1.0,0.0,0.22361535846328576,0.1792337968207278,0.2594411198770866,0.9197926769436412,High
60,0.0,0.0,0.17505984565670138,0.12128169682459988,0.24918105540518193,0.8721006414194179,High
22029,1.0,1.0,0.913779188854298,0.892473007635354,0.9421642394878506,0.9503087681475034,High
891,0.0,0.0,0.23930813644223675,0.18619601019726437,0.29402363509659973,0.8921723751006646,High
2511,0.0,0.0,0.015448048465772557,0.010616753771269057,0.02058257415783862,0.9900341796134304,High
8017,0.0,0.0,0.361540595981671,0.2900087175674769,0.4735136845326708,0.8164950330348062,High
17621,1.0,0.0,0.01681721338374663,0.01102399536880134,0.025905520869442176,0.9851184744993592,High
4445,0.0,0.0,0.01743297953108511,0.00907765527930077,0.027457045679893963,0.9816206095994068,High
